AGREGAT;842 PP -78 H12;23356;;1992;DT;Dział techniczny;;DT;2017-06-29;;;
AGREGAT;842 PP -78 H12;23910;;1995;DT;Dział techniczny;;DT;2017-06-29;;;
Akcelerator medyczny ;VitalBeam;H193992;Varian Medical Systems;2019;Varian ;Radiologia;;;2021-07-18;5136;przegląd co 3 miesiące - gwarancjs 07 .2024 r.;
Akcelerator medyczny ;VitalBeam;H193997;Varian Medical Systems;2019;Varian ;Radiologia;;;2021-07-26;5137;przegląd co 3 miesiące- - gwarancja do 07.2024r;
Amnioskop z wyposażeniem *;SN -420-LP;SN-99-3-613/ paszp. 993613;Wolf;1999;Koperwas;Położniczy + Trakt Porodowy ;;DT;2023-01-11;8-80-802 8/52;;
Analizator parametrów krytycznych (na razie nie do przeglądu) *;ABL 80;314924;Radiometr;2017;;SOR;;;2017-05-10;;;
Analizator pola promieniowania;IBA Blue Phantom 3D;27833;IBA Dosimetry;2019;;Radiologia;;;2019-08-05;;;
Aparat Aktiw -200  przegl wlasny zakres *;THERA VITAL;5512038;Germany;1993;DT;Dział Rehabilitacji i Fizykoterapii;;DT;2017-03-31;8-80-802-1/121;;
Aparat Ambu jest ;Restytator 2000;231097-03YS;Drager Medical AG;1997;Koperwas;Chirurgii Dziecięcej i Urazowej ;;Zakłady naprawcze;2022-12-06;0973-243x4/42/22;;
Aparat cyfrowy z drukarką  jest ( nie do przeglądu) ;Canon z drukarką/ w paszp. Cp;CP720/ w paszp. 720;Canon;2007;DT;SOR;;;;8-80-802-3/178;;brak paszportu
Aparat do  krioterapii *;Crio 6;SN 732837 ;;2010;Zalim;Dział Rehabilitacji i Fizykoterapii;;;2022-02-04;8-80-802-8/856;;
Aparat do bad. słuchu EROSCAN + sonda - dar *;Screener;7864059;Oticon;2007;Koperwas ;Noworodków, Wcześniaków i Patologii Noworodka.;;DT;2023-05-17;8-80-802-1/808;;
Aparat do EKG - Elektorkardiograf *;EK-53;37621;HELLIGE;1992;Aparatura Medyczna;Pracownia EKG;;DT;2022-01-15;8080-802-1/99;;do przeglądu
Aparat do EKG -Elektrokardiograf *;M-Trace;SIN 0446;MERLIN MEDICAL;2010;Aparatura Medyczna;Pracownia EKG;;DT;2022-01-15;8-80-802-2/860;;
Aparat do Kriochirurgiii CRYO-Flex zestaw  na nowym bloku *;CSE 0177 H;0163 SL;Metrium Cryo Fleex;2012;Zalim;Blok Operacyjny;;;2021-11-26;8-80-802-1/617;;
Aparat do krioterapii CYRO-T *;C- 200 ;CT - 749 LA ;CRYO-FLEX;2004;Zalim;Dział Rehabilitacji i Fizykoterapii;;;2022-02-04;;;
Aparat do lokalizacji naczyń krwionośnych - (nie wym przegl)*;AV400 -;AV16440007;ACCUVEN;2017;;Oddział Pediatryczny;;;2017-03-31;4006;nie wymaga przeglądu ;
Aparat do masaażu sekw.ucisk.z mankietam wł zakres *;PLEBO-PRES;2556;MEDEN-INMED;2009;DT;Dział Rehabilitacji i Fizykoterapii;;;2017-03-31;8-80-802-1/829;;do przeglądu
Aparat do ogrzewania pacjenta  *;W-300;300B1104016;IINSTANBUL MEDIK;2017;Zalim;SOR;;;2021-09-28;4125;;
Aparat do podgrzew. płynów infuzyjn. + jedn steruj (nie do przegl);Vital Spns*niesprawny;80282839980121EU/ 80990436;Skamex;2018; niesprawny ;SOR;;;2022-01-25;4276;nie zgłaszać do przegl rok 2022 ;
Aparat do powierzchn.ogrzew.pacjenta + jedn ster * ;ARMED - W 300 ;190100B1201005,300B1201013;ARMED;2012;Zalim;SOR;;DT;2021-09-28;8-80-802-2/228;;
Aparat do Resuscytacji noworodka NEOPUFF *;RD900;80505001442;Fisher&Paykel Healthcare;2008;Koperwas;Noworodków, Wcześniaków i Patologii Noworodka.;;;2023-02-21;8-80-802-1/922;;
Aparat do screeningowego badania słuchu OTD READ *;TEOADE screening;JA 3001277;Medical General;2017;Koperwas;Noworodków, Wcześniaków i Patologii Noworodka.;;;2021-02-09;4181;gwarsancja do 2020 r;
Aparat do terapii nerkozastępczych *;Multifiltre CiCa -;9MUG 4117;FMC;2009;Koperwas;Anestezjologii i Intensywnej Terapii;;Gwarancja 24 mieciące Frasenius Medical;2021-04-28;8-80-802-1/871;Data montażu 06.04.2009r;
Aparat do Wiktrektomii i Fakoemulsifikator Megatron S4  *;G600000 -;S4-1235378 -;Gender;2012;ABJ VISION;Blok Operacyjny / Okulistyka;;;2023-02-03;8-80-802-1/601;;
Aparat do znieczulenia - kardiomonitor SQC18280010HA (5) * II połrocz 2024;Carestation 650 ;SM718290028WA;GE;2018;GE Medical;Blok Operacyjny;;;2022-09-22;;Nowy gwarancja 60 m-cy nr umow 111/ZP?UE/18;
Aparat do znieczulenia - kardiomonitor SQC18280011HA (5) * II półrocz 2024;Carestation 650 ;SM718290027WA;GE;2018;GE Medical;Blok Operacyjny;;;2022-09-22;;Nowy gwarancja 60 m-cy;
Aparat do znieczulenia - kardiomonitor SQC18280012HA (5) * II półrocz 2024;Carestation 650 ;SM718300011WA;GE;2018;GE Medical;Blok Operacyjny;;;2022-09-22;;Nowy gwarancja 60 m-cy;
Aparat do znieczulenia (Blok Operacyj) *;Carestation;SM618510007WA;GE Medical;2018;Koperwas;SOR;;;2022-12-15;4275;umowa 328/ZP/2018 z 18.12.2018 gwarancja 24 m-ce;
Aparat do znieczulenia ogól -noworod,dziec,doros  *;FABIUS GS -;ASEJ-0210;Drager-Medical;2013;Anmediq;Blok Operacyjny;;;2022-04-07;8-80-802-2/255;;
Aparat do znieczuleń  (sala nr 4)   -  ( z SOR) przekazany na Ukrainę ;Aestiva 5\7100AMVG -;AMVD 00157;Datex Ohmeda ;2001;Servsystems;Blok Operacyjny;;Promed S.A.;2021-08-31;80-80-802-1/190;z SOR-u ;
Aparat do znieczuleń - Chirurgia Ogólna *;Aestiva 30000\7900 -;AMRD 01400;Datex Ohmeda ;2001;Servsystems;Chirurgia Ogólna i Onkologiczna;;Promed S.A.;2022-09-22;8-80-802-1/187;;zgłoszony do naprawy 23.09.20221
Aparat do znieczuleń +wyp.M - (ginekol zabiegowa) *;Excel 80/7000 -;AMLD 00179;Datex Ohmeda ;2000;Servsystems;Ginekologiczny;;Promed;2022-11-23;8-80-802- 2/52;;
Aparat do znieczuleń d dzieci + monitor MX 550 i X 3 * ;FLOW C;4921, kardiom DE 671T3238, DE694C9407;Maquet/Philips;2021;GETINGE;Blok Operacyjny;;;2021-02-16;5582;WOŚP dostarcz w 2021 roku  gwarancja  do 16.02.2025r.;
Aparat do znieczuleń ogół now,dziec,doro Aespire *;Aespire VIEW ;APHQ 01036;GE;2011;Servsystems;Blok Operacyjny;;Promed S.A.;2022-09-22;8-80-802-2/219;;
Aparat do znieczuleń OHMEDA EXEL 80 z wypos *;Exel 80/7000;AMLC 00232;Datex Ohmeda;2000;Servsystems;SOR;;HODUR;2022-11-23;8-80-802-1/165;;
Aparat do znieczuleń z wypos /monitor monoch *;Aestiva 5/7100;AMVE 00156;Datex Ohmeda;2001;Servsystems;Sala Cięć Cesarskich;;HODUR;2022-09-22;8-80-802-1/188;użyczony na oddz. Polożniczo - Ginekolog;
Aparat do znieczuleń z wyposaż *;Aestiva 5\7100AMVG;AMVE-00164;Datex Ohmeda ;2001;Servsystems;Pracownia Diagnostyki Endoskopowej;;Promed S.A.;2022-09-22;80-80-802-1/191;;
Aparat RTG  z ramieniem -  w uwagach  *o**pis;Ziemm 8000-;80008;Simens;2009;Medikol ;Blok Operacyjny;;Timko;2023-05-29;8-80-802-1\849;skasować bład bateri  przy przeglądzie;
Aparat RTG jezdny *;Mobile Art. Evolution;41BDE2132001;Shimadzu;2013;Medikol Systemsl;ZDO;;;2023-05-29;8-80-802-2/250;;
Aparat RTG jezdny od zdjęć przyłóżkowych;Topaz-32D;DRK2270105A;DRGEM;2022;Medikol Healthcare;ZDO;;;2022-08-11;5745;;
Aparat RTG jezdny*;Polimobil 10;01608 S16 /701750;Simens;1997;Medikol;SOR / Dział Konsultacyjno- Leczniczy;;;2022-03-08;8-80-802-6/1;w rezerwie;
Aparat RTG kostno-płucny - skasowany ;SIT 5000;7220823;SUINSA;2007;Zakład Techniki Med.;ZDO;;Lowamiks s.c.;2019-12-12;8-80-802-1/794;;
Aparat RTG kostno-płucny *;Arcoma Precision i 5 ;1092;Arcoma ;2020;;ZDO;;;2020-12-18;;gwarancja 48 m-cy umowa nr 294/ZP/20 z 16.11.2020 ;
Aparat RTG telekomando (3) - przegl do 2024r wykon Siemens -(czas 3 lat).po gwarancji ; Telekomando – Luminos DRF Max *;5907;Siemens;2018;Simens;ZDO;;;2023-01-20;4187;gwarancja 36 miesięcy umowa 293/ZP/UE/17 przegl pogwarancyjne 3 lata par 8 ust 15;
Aparat RTG z ramieniem  *;ARCADIS AVANTIC;35060;Siemens;2014;Medikol ;Blok Operacyjny;;;2023-05-29;;;
Aparat RTG Zestaw w konfigur. IV z wyposaż *; Sireskop zestaw 3;6070175101-01/ w paszp 6070195101-11;Siemens ;1996;Medikol ;ZDO;;Fortronik ;2022-03-08;8-80-802-5/17;Skasowany?;
Aparat RTG zębowy *;Kodak 2200;AEY1025;Kodak Trophy;2012;Medikol Solution;ZDO;;;2023-02-21;8-80-802-6/103;;
Aparat USG ;Mylab X80 PRO;8500523;Oseate;2021;;ZDO -  przeniesiony na Chirurgię Dzieci;;;2021-07-01;;WOSP gwarancja - w sprawie przeglądu gwarancyjnego dzownić - tel.662 698 570 Piotr Kuminia? Dnia 23.05.2023 przegl.nie wykonany- brak dostępu do sprzętu znajdującego się na Ch.Dz.;
Aparat USG ;okulistyczny ;7457;Quantel Medical ;2022;;Okulistyka;;;2022-06-08;5741;gwarancja 24  m-ce ;
Aparat USG -  przenośny wykorzyst na OIOM  *;EZONO 4000;9100200455;EZONO AG;2017;Zalim;Blok Operacyjny;;;2022-10-03;;umowa nr 57/ZT/17 z dn 31.03.2017r MS Medical - aktualizacja oprogramowania ;
Aparat USG -  Ultrasonograf (3) wypożycz do Działu Konsultacyjno- Lecz.;Hs 40 *;S1AWM3HM 100008M;Samsung;2018;EUROMED;SOR;;;2022-02-04;;umowa 322/ZP/18 gwarancja 36 m-cy;
Aparat USG - Ultrasongraf Aloka 6;PROSOND;20002979;;2010;;Dział Konsultacyjno- Leczniczy;;;;;Przekazany jako darowizna od lekarza;Brak przeglądu, paszportu
Aparat USG - Ultrasonograf (Przek na Chirurg Onkol) *;HD 7 XE;989605368681SN CI 53110770;PHILPS;2011;Zalim;Chirurgia Ogólna i Onkologiczna;;;2022-06-22;8-80-802-6/32;;
Aparat USG - Ultrasonograf *;HDI 5000;02DQBY;Philips;2004;Zalim;ZDO;;ProfiMedical;2022-06-22;8-80-802-1/424;;
Aparat USG - Ultrasonograf *;HD11;US21077293;Philips;2010;Zalim;ZDO;;DT;2022-06-22;8-80-802-2/859;;
Aparat USG - Ultrasonograf okulist. Zest.TOMEY stolik TTUD *;UD-8000-;235409;TOMEY;2012;Koperwas;Okulistyka;;;2020-10-20;8-80-802-1/624;2013-04-02 data rozp.eksploat.;
Aparat USG *;Voluson S 6 BT 12 -;210171SU5;GE MEDICAL Systems ;2013;YAL;Ginekologiczny;;;2021-12-18;8-80-802 1/101;nowy od 04.2013;
Aparat USG *;SSH-140A/SHG;P561G747;Toshiba;1996;Zalim;Położniczy + Trakt Porodowy ;;Toshiba;2021-11-26;8-80-802 4/49;WYCOFANY - wg protokołu ZTM Innovations;
Aparat USG *;SSH-140A/C -;P7562699;Toshiba;1996;Zalim;Chorób Wewnętrznych i Gastroenterologii;;TMS;2021-11-26;8-80-802-5/35;październik 2009;
Aparat USG *;APLIO;T1F1484521;Toshiba;2014;Zalim;ZDO;;;2021-11-27;3803;25.11.2022r nowa głowica nr PLT-704SBT Viki-Med;
Aparat USG * zgłs do przegl ;DC-70X-INSIGHT;CJ1-91000515;Myndrai;2019;Adometr;Noworodków, Wcześniaków i Patologii Noworodka.;;;2022-03-10;4498;dar Orkiestra Sw Pomocy gwar 36 m-cy do 28.02.2022;
Aparat USG *kasacja -  czerwiec 2022 r.;ENVISOR-C;US 40608224;Philips;2006;Zalim;Oddział Pediatryczny;;vikimed;2020-02-02;8-80-802-1/785;;
Aparat USG- przenośny *;MYLAB TOUCH -;91035087;Esoate;2011;Zalim;Anestezjologii i Intensywnej Terapii;;KOSMED;2021-10-26;8-80-802-2/221;data rozpoczęcia eksploatacji 16.12.2011;
Aparat USG RS85 *-  zglosic do przegl na 2023 i dalej ;RS 85;S19UM3HN200012Z;Samsung;2020;Gemet;ZDO;;;2022-03-10;5159;Dar Wielka Orrkirestra św Pomocy gwarancja 24 m-ce ;
ARTROMOT K2 - szyny sterow. elektryczne  *;K2-PRO;80.00.013.1978;ARTROMOT;1978;Zalim;Ortopedia;;DT;2021-11-30;8-80-802-1/462;;
ARTROMOT K2 -szyny sterowa elektryczne  *;K2-PRO;80.00.013.1977;ARTROMOT;1977;Zalim;Ortopedia;;DT;2021-11-30;8-80-802-1/461;;
Artroskop z osprzętem - zestaw  *;Smith&Nephew HD;;Smith&Nephew HD;2016;Koperwas;Blok Operacyjny;;;2023-02-08;3975;gwarancja 31.10.2018;
Audio-tympanometr +,drukarka termicz *;AA222 -;3006957;Videomed;2012;Koperwas;Otolaryngologia;;;2022-12-07;8-80-802-6/107;;
Autokeratorefraktometr   porad *;NRK 1;NŻ 14003;;2014;Koperwas;Okulistyka;;;2023-02-21;;;
Autokeratorefraktometr *;RC-5000-;287006;TOMEY;2012;Koperwas;Okulistyka;;;2023-02-21;8-80-802-1/622;2013-04-02 data rozp.eksploat.;
Autoklaw - Sterylizator  parowy *;Castle 133;60654;Getinge- Castle;2009;ZTM Innovations;Centralna Sterylizatornia;;NSM L. Grdeń;2023-02-08;8-80-802-1/921;;
Autoklaw - Sterylizator kasetowy  (nie używany) ;Statim 7000;240212J00002;Scican;2013;Sterimed;Centralna Sterylizatornia;;;2019-12-10;8-80-802-1/148;;
Autoklaw - Sterylizator parowy nr 1 ( niesprawny ) *;Castle 233;60686;Getinge- Castle;2000;Sterimed;Centralna Sterylizatornia;121/ZP/14;NSM L. Grdeń;2018-04-11;8-80-802-1/918;;
Autoklaw - Sterylizator parowy nr 2 *;Castle 233;60675;Getinge- Castle;2000;ZTM Innovations;Centralna Sterylizatornia;;NSM L. Grdeń;2023-02-08;8-80-802-1/919;;
Autoklaw - Sterylizator plazmowy *;Sterrad 100NX;1042090118;Johnson & Jonhson;2009;Johnson;Centralna Sterylizatornia;;Johnson;2021-11-23;8-80-802-1/910;umowa na przegląd ważna do 12. 2022r;
Autoklaw * tel 600929945 Kłoda ;VACUCLAVE 44B+;201844-B3690;MELAG;2019;ZTM Innovations;Centralna Sterylizatornia;;;2022-07-20;4485;gwarancja 24 m-ce przegląd co 4000 cykli lub co 2 lata ;
Barometr elektroniczny;testo 511;39116327/810;TESTO;2019;;Radiologia;;;2019-08-05;;;
Barometr elektroniczny;testo 511;39116331/810;TESTO;2019;;Radiologia;;;2019-08-05;;;
Barwiarka *;GMINI -AS ;GT1248-H-1411;Elektromed;2014;Elektromed;HISTOPATOLOGIA;;;2022-11-08;3805;;
Bezinwazyjny aparat do pomi bilirubiny nie wymag -;SN 01305;9100 M;Bili Chack System;2000;DT;Dział Konsultacyjno- Leczniczy;;Zakł. Naprawcze M.Orzechowski;2014-01--15;8-80-802-9/86;nie wymaga przeglądu;
Bieżnia - system do prób wysilkowych *;Track Master 400;11420;JAS MFG;1991;Zalim;Pracownia EKG;;;2022-02-03;8-80-802-4/22;;do przeglądu
Biometr Optyczny *;IOL MASTER 500;1228621;ZEISS;2020;Koperwas;Okulistyka;;;2023-02-21;5181 a;Umowa 109/ZP/20 Carl Zeiss gwarancja 24 m-ce;
Biometr Optyczny zesTopograf stolik TTUD 1060 *;OA-1000 TMS 5 -;263104,219601,9291;;2012;Koperwas;Okulistyka;;;2023-02-21;8-80-802-1/111;2013-04-02 data rozp.eksploat.;
Biopachymetr z zestawu USG Tomey *;AL.-4000 -;113208;TOMEY;2012;Koperwas;Okulistyka;;;2023-02-21;8-80-802-1/624;2013-04-02 data rozp.eksploat.;
Biopolarny system Vapr 3 *;Vapr 3-;821805;Johnson & Jonhson;2008;Zalim;Blok Operacyjny;;;2021-11-26;8-80-802 1/824;nr fab 0821805 pod przez oddziałową;
Bronchoskop  *;BF1T60-;2142163;Olimpus;2011;Zalim;Blok Operacyjny;;;2022-07-06;8-80-802-2/215;;
Centrala monitorująca *;Bene VISIONCMS ;CN-OTTVXF-PE200-973-0063-ADO;BioMedicTEK;2019;BioMedicTEK;Chorób Wewnętrznych i Gastroenterologii;;;2022-11-08;4589;umowa 307/ZP/NZ/19 05.11.2019 gwarancja 48 m-cy ;
Centrala monitorująca *;Bene VISIONCMS ;CN-OTTVXF-PE200-96P-0016-ADO;BioMedicTEK;2019;BioMedicTEK;Chorób Wewnętrznych i Gastroenterologii;;;2022-11-08;4590;umowa 307/ZP/NZ/19 05.11.2019 gwarancja 48 m-cy ;
Centrala monitorująca do Kardiomonitorów B 20  (na covid) *;i Central;CZC 1347RkR;GENIUS;2011;Anmediq;Kardiologiczny;;;2023-03-09;8-80-802-2/218;na gwarancji;
Centrala monitorująca IntelliVue PIIC iX *;PIIC iX;3R03-STLL-4 US43393739;Philips;2020;Viridian;Anestezjologii i Intensywnej Terapii;;;2022-08-04;5195;umowa  nr 103/ZP/20 Viridian gwaranc 24 m-ce;
Chirurgicz sonda promieniow-Gammafin (blok oper) *;Healthca Marce G102-01-;40169;Healthcare Marceting;2011;HMS Healthcare Marketing Services;Blok Operacyjny;;;2023-05-26;8-80-802-2/213;;
Chlodziarka Whirlpool*;RE127W;850110496030;Whirpool;2014;DT;Kardiologiczny;;;2017-03-31;3713;walidacja nr 20/2017;
Chłodnia do zwłok -trzykomorowa  /prosektoriu/ wynajęta ;KSK-12.3;;;2005;;HISTOPATOLOGIA;;;;4-48-486-1/13;przegląd w zakresie prosektorium;
Chłodziarka  Samsung *;SRG 148;;;2010;;Neurologia;;;2017-02-10;8-80-808-3/336;walidacja nr 23/2017;
Chłodziarka - West Forst BKS * ;BKS 250;84700277;POLAR;2000;DT;Ginekologiczny;;DT;2018-03-21;8-80-808-1/666;walidacja nr 7/2018;
Chłodziarka - West Forst BKS * ;BKS 250;84700288      ;;2000;DT;Położniczo - Ginekologiczny i Patologii Ciąży;;DT;2018-03-14;8-80-808-1/668;walidacja nr 6/2018;
Chłodziarka *;ARC;;Zanussi;2017;;Kardiologiczny;;;2017-12-07;41160;;
Chłodziarka *;BKS 250;84700280;VESTFROST;2000;DT;Noworodków, Wcześniaków i Patologii Noworodka.;;;2017-02-17;8-80-808-1/905;walidacja 24/2017;
Chłodziarka Elektrolux (do celów socjalnych) *;240-4S;933013349-00;;2014;;Pracownia Immunologii Transfuzjologii ;;;;3732;;
Chłodziarka na leki *;MPM ;7B0629;MPM;2017;DT;Przychodnia Nocna i Świąteczna Opieka;;;2019-11-21;04217-2;;
Chłodziarka Polar - jest *;CPW 202A;4290071542;Polar;;DT;Ortopedia;;DT;2017-03-03;8-80-802-1/640;walidacja nr 25/2017;do przeglądu
Chłodziarko  Zamrażarka lodówka nr 3 *;Cz340 Polar;;ZZ SD Polar Wrocław;1996;Meriko;Pracownia Immunologii Transfuzjologii ;;Zakłady naprawcze;2017-06-12;0673-510-9-96/8(3);walidacja nr 41/2017;
Chłodziarko -zamrażarka *;BEKO;RCSA240M20W;;2010;;Otolaryngologia;;;;4102;;
